-23.2596,48.3938,-6.15088,1,3,0
-23.2546,48.4126,-6.0623,1,3,0
-18.01,48.7445,-8.75561,1,3,0
-15.2999,40.6402,-99.1946,1,3,0
-15.8023,37.5922,-99.8679,1,3,0
-16.6914,28.5539,-98.3766,1,3,0
-18.0257,19.5757,-100.92,1,3,0
-19.5911,10.6215,-100.126,1,3,0
-20.4567,5.10965,-59.7319,1,3,0
-18.6754,4.22633,8.82415,1,3,0
-18.5678,6.54418,155.858,1,3,0
-19.8194,8.50252,81.4615,1,3,0
-18.3877,17.4664,80.3401,1,3,0
-16.7694,26.4147,79.5713,1,3,0
-16.131,35.4001,80.811,1,3,0
-15.956,36.3865,81.2239,1,3,0
-15.4614,39.7878,81.9955,1,3,0
-15.8726,48.1602,144.494,1,3,0
-22.5136,48.7237,-166.254,1,3,0
